UF;Município;IFDM;Emprego & Renda;Educação;Saúde
SP;Louveira;0,900623;0,753854;0,99059;0,957424
SP;Olímpia;0,88195;0,763927;0,974945;0,90698
SP;Estrela do Norte;0,881005;0,736524;0,997804;0,908686
RS;Vale Real;0,880716;0,795154;0,881922;0,965072
PR;Apucarana;0,880563;0,749571;0,939544;0,952574
RS;Lajeado;0,878862;0,767388;0,919049;0,95015
PR;Toledo;0,878582;0,773109;0,906067;0,95657
SC;Concórdia;0,878113;0,754399;0,923912;0,95603
SP;Itatiba;0,87793;0,717526;0,985039;0,931225
SP;Itupeva;0,877904;0,755637;0,937535;0,940541
SP;São Caetano do Sul;0,877275;0,684366;0,992;0,955458
SP;Jundiaí;0,877102;0,681489;0,988012;0,961806
SP;Jaguariúna;0,876534;0,73753;0,969556;0,922516
SP;São José do Rio Preto;0,87533;0,680755;0,992667;0,952568
SP;Paraguaçu Paulista;0,874622;0,739453;0,977302;0,90711
SP;Mendonça;0,874069;0,660221;0,9955;0,966487
SP;Paulínia;0,874067;0,755748;0,975667;0,890788
PR;Paranavaí;0,873879;0,730943;0,942768;0,947925
PR;Pato Branco;0,873661;0,765625;0,918336;0,937022
SP;Vinhedo;0,872842;0,694079;0,984333;0,940113
SP;Clementina;0,872029;0,786955;0,933661;0,895473
SP;Santos;0,870238;0,715099;0,962676;0,932939
SP;Mococa;0,869078;0,69899;0,963404;0,94484
SP;Amparo;0,868666;0,71991;0,972002;0,914085
SC;Chapecó;0,868448;0,766652;0,907833;0,930859
SP;Barretos;0,867595;0,733237;0,95792;0,91163
SP;São Carlos;0,865083;0,677706;0,986219;0,931322
SP;Planalto;0,865009;0,766005;0,881685;0,947337
PR;Maringá;0,864569;0,749272;0,89983;0,944606
SC;Rio do Sul;0,86357;0,741274;0,909039;0,940396
SP;Ilhabela;0,863386;0,733303;0,957337;0,899518
SP;Andradina;0,863367;0,70594;0,965209;0,91895
SP;Porto Feliz;0,863167;0,754776;0,934706;0,900019
SP;Indaiatuba;0,863167;0,661837;0,995833;0,931832
SP;Nova Odessa;0,862836;0,766688;0,974919;0,846902
RS;Campo Bom;0,862194;0,710435;0,934951;0,941197
SP;Marília;0,861514;0,667926;1;0,916617
SP;Matão;0,86151;0,715485;0,976553;0,892491
SP;Cajamar;0,861013;0,764918;0,902343;0,915778
SC;Joaçaba;0,860755;0,772303;0,914343;0,895618
